,Classical,Electronic,Folk,Hip-Hop,International,Jazz,Old-Time / Historic,Pop,Rock,class.error,,,
Classical,165,0,6,0,1,5,5,0,0,0.093406593,,,
Electronic,1,107,11,15,1,9,2,10,26,0.412087912,,1281,0.782051282
Folk,6,3,126,4,3,8,7,13,12,0.307692308,,,
Hip-Hop,0,16,4,149,0,0,0,5,8,0.181318681,,,
International,0,1,3,1,173,0,2,1,1,0.049450549,,,
Jazz,6,3,2,1,3,161,1,1,4,0.115384615,,,
Old-Time / Historic,5,2,3,0,0,0,172,0,0,0.054945055,,,
Pop,1,20,19,9,2,6,1,109,15,0.401098901,,,
Rock,0,9,16,8,4,8,3,15,119,0.346153846,,,
