"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","MeanDecreaseAccuracy","MeanDecreaseGini"
"chromacens.kurtosis.01",0.000365349411297626,0.000158242116092983,0.000352169871088296,-9.91768581271764e-05,0.00114586751674768,0.00120520317616399,-0.00013866154582244,0.000493516729266941,0.00015894765039448,0.000405899044665454,1.86078118138616
"chromacens.kurtosis.02",0.000575203219580153,-0.000195051342986599,-3.60045600924199e-06,-0.000272801678964159,0.00127524620455973,0.00145891799191329,6.28664926785021e-05,0.000194634365184468,-0.000200423164147578,0.000337911631072871,1.6885379489371
"chromacens.kurtosis.03",0.00136994093454128,0.000110192284405682,-0.000236210413880889,-8.39536655663335e-05,0.00187035731066812,0.0015923457950814,0.000167413819086901,0.00018617888138461,0.00108243010770803,0.000669355632328972,1.93190024516264
"chromacens.kurtosis.04",0.00151069262311313,-0.000186166890129718,0.000203927900056075,0.000106083961478586,0.00189136277340258,0.000952238966660066,-5.66706144092067e-05,0.00025684698633588,0.000346204670550495,0.00054761022730875,2.0138931394343
"chromacens.kurtosis.05",0.000281607097013916,-6.80089541176204e-05,-0.000102156431745939,3.76743120927216e-05,0.0015940089343192,0.000767858534822766,4.78809890674298e-05,0.000128917051049135,5.63541306366553e-05,0.000307483210379084,1.3930002120536
"chromacens.kurtosis.06",0.000990957600984059,-0.000125925566262219,0.000140102340059943,-5.72550669942711e-05,0.00156555002703146,0.00241907114779792,3.24348656198627e-05,-0.000117627854615299,0.000158040083007266,0.000539892660474697,1.68075991711174
"chromacens.kurtosis.07",0.000949025436055645,-3.9873562183542e-05,-6.87310105085664e-05,6.70436579148328e-05,0.00222563918879966,0.00186181091701794,0.000261657150293169,-4.73667654988177e-05,6.82404073245309e-05,0.000582425608103278,1.76092833438283
"chromacens.kurtosis.08",0.000719333865082416,-6.46586929786179e-05,0.000411649032576486,8.09694999831925e-05,0.00151043001554344,0.00150994542918436,7.50010991942302e-06,0.000188176198653927,-0.000107795579807163,0.000469805767076006,1.71168823622623
"chromacens.kurtosis.09",-0.000102463629921927,0.000155594230122935,-0.00040417212289358,0.000247759484958033,0.00181815739943957,0.00161871820808244,3.52917819897491e-07,-7.08753523127256e-05,-0.000131721137732053,0.00035368561348719,1.71086143818435
"chromacens.kurtosis.10",0.000535787697436012,-3.47545483166232e-05,8.0426035976937e-05,-8.34736560162131e-05,0.00154479514484916,0.0010945345006068,8.28710441210441e-05,-0.000109604952235669,-0.000113628079051779,0.000337371302635109,1.63352786311747
"chromacens.kurtosis.11",0.00135238242978865,0.000100716030571543,1.9363860016068e-05,0.000123164780669434,0.00164836937944141,0.001115660339949,0.000231970553021734,0.00019866991401784,0.00041745200525862,0.000581015351380131,1.75261112110768
"chromacens.kurtosis.12",8.23093084448212e-05,6.26734339092354e-05,2.58565538434011e-05,-1.80414379562737e-05,0.00114409055809749,0.00156094105258729,0.000196194952716692,0.000124237754047395,0.000131988087649205,0.000372346665736716,1.60660249382428
"chromacens.max.01",0.000691124392376507,-0.00010131292973133,6.82789848132009e-06,0.000361103282335581,0.00311088196253963,0.00503616550318881,0.00045743081964625,-0.000125551703878232,-2.09079490519429e-05,0.00103740255863764,2.17654886470064
"chromacens.max.02",0.000820638839518724,9.16984163105387e-05,-0.000219519324455962,0.000205561627892618,0.00189708130383124,0.00322234951801006,0.000317594295170277,0.000541606423275188,-0.000111886644707029,0.000763426326756161,2.06120864488238
"chromacens.max.03",0.000505286977227642,-6.62868367841558e-05,-0.00014487638945753,0.00119857973647325,0.00290069558301907,0.00414248223712827,0.000748024496747377,0.000112011556596009,-0.000233816571822896,0.00102419697206497,2.41926209613196
"chromacens.max.04",0.00129150066025845,-0.000317666668840895,-0.000101995845423716,-0.000134775230029328,0.00624596053570786,0.0128554093771976,0.000274394699687987,0.000278860041986431,-0.000583916761849169,0.0022104619675068,3.63469358657906
"chromacens.max.05",0.00032842269684287,-2.33404624890789e-05,0.00015392254318938,0.00186789821010622,0.00280010925396041,0.00395811639337608,0.000177179119517051,0.000859950394750872,-0.000347388784028176,0.00106145527856463,2.60579897931017
