"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",182,1,0,0,0,4,0,0,1,0.0319148936170213
"Electronic",2,1331,19,71,3,6,3,41,102,0.156527249683143
"Folk",2,26,500,2,3,9,0,17,48,0.176276771004942
"Hip-Hop",0,10,6,494,3,1,0,6,19,0.0834879406307978
"International",0,0,0,0,76,0,0,0,0,0
"Jazz",1,0,2,0,0,93,0,0,1,0.0412371134020618
"Old-Time / Historic",0,0,0,0,0,0,247,0,0,0
"Pop",0,3,2,1,0,0,0,104,3,0.0796460176991151
"Rock",5,158,93,42,12,42,1,84,2550,0.146300636089722
