"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",170,0,5,1,0,10,4,1,1,0.114583333333333
"Electronic",7,101,14,12,2,10,1,17,28,0.473958333333333
"Folk",13,4,121,10,2,8,7,14,13,0.369791666666667
"Hip-Hop",2,16,4,149,0,1,4,4,12,0.223958333333333
"International",1,2,2,3,181,0,2,1,0,0.0572916666666666
"Jazz",3,2,1,4,4,167,3,1,7,0.130208333333333
"Old-Time / Historic",10,2,2,3,4,0,169,2,0,0.119791666666667
"Pop",2,20,23,12,3,6,2,111,13,0.421875
"Rock",4,18,16,7,3,7,2,20,115,0.401041666666667
