"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class accuracy"
"Classical",3,3,2,0,0,0,0,0,0,0.375
"Electronic",0,102,2,10,0,1,0,1,35,0.675496688741722
"Folk",0,10,42,1,2,2,0,0,34,0.461538461538462
"Hip-Hop",0,9,2,75,0,1,0,0,14,0.742574257425743
"International",0,0,1,0,11,0,0,0,5,0.647058823529412
"Jazz",1,3,5,0,0,22,0,0,15,0.478260869565217
"Old-Time / Historic",0,0,0,0,0,0,0,0,3,0
"Pop",0,16,4,1,0,0,0,21,25,0.313432835820896
"Rock",0,20,5,5,0,3,0,3,319,0.898591549295775
