"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",181,0,5,0,0,4,2,0,0,0.0572916666666666
"Electronic",3,119,10,14,0,12,0,13,21,0.380208333333333
"Folk",7,2,133,6,4,13,8,9,10,0.307291666666667
"Hip-Hop",1,17,3,157,0,2,0,6,6,0.182291666666667
"International",2,1,0,2,184,1,2,0,0,0.0416666666666666
"Jazz",2,1,3,2,3,173,2,1,5,0.0989583333333334
"Old-Time / Historic",5,0,2,3,1,2,179,0,0,0.0677083333333334
"Pop",1,21,14,11,2,5,1,124,13,0.354166666666667
"Rock",1,13,19,12,3,4,1,12,127,0.338541666666667
