,Classical,Electronic,Folk,Hip-Hop,International,Jazz,Old-Time / Historic,Pop,Rock,class.error,
Classical,29,3,1,0,0,2,0,0,0,0.171428571,
Electronic,1,268,7,34,4,7,2,9,23,0.245070423,
Folk,1,7,95,0,0,5,0,6,20,0.291044776,
Hip-Hop,0,9,2,96,2,0,0,3,5,0.179487179,
International,0,1,0,0,5,0,1,0,0,0.285714286,
Jazz,3,0,0,0,0,7,0,0,0,0.3,
Old-Time / Historic,0,0,0,0,0,0,55,0,0,0,
Pop,0,0,0,0,0,0,0,10,3,0.230769231,
Rock,3,47,28,19,6,19,0,20,510,0.217791411,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,1075
,,,,,,,,,,,0.78011611
