"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","MeanDecreaseAccuracy","MeanDecreaseGini"
"chromacens.kurtosis.01",0.000155412740493787,-0.000165758003343528,1.27868442375283e-05,0.000240280079268459,0.00160387991595855,0.00140593323675545,0.000109855969820005,-2.99149828229381e-05,8.92341518524711e-05,0.000375867660245994,1.6435476850638
"chromacens.kurtosis.02",0.0020787701593745,6.91091548276188e-05,-8.01134002063385e-05,3.93723256671242e-05,0.00166071327698995,0.00130432807187435,0.000570611365823934,0.000138477319569589,3.06341468159215e-06,0.000643584555234361,1.80138537699264
"chromacens.kurtosis.03",0.00124651769955354,0.000126281771159422,-0.000166064033827824,-5.76852598991593e-05,0.00232350456680088,0.00179181322290366,0.000433618809614518,2.55595989966883e-05,0.00024619264087408,0.000672513671876906,1.99002237507609
"chromacens.kurtosis.04",0.000339610957966637,-4.64990705294774e-07,-1.11858065200127e-05,0.000198439784205406,0.00193860571817985,0.00146881465382429,0.000368829797458179,8.9978308842688e-05,0.000559245269472488,0.000558821283472623,1.89436917113548
"chromacens.kurtosis.05",0.000688947620912499,-2.28786699711618e-05,5.29641500740023e-05,0.000165821716954671,0.00154551601714106,0.00150326597128691,0.00013016400869877,-7.32325677390986e-05,8.97166757649859e-05,0.000449555327050268,1.77181797543198
"chromacens.kurtosis.06",0.000949447479442469,0.000365984684058047,-2.46908031167652e-05,-7.56311354632892e-05,0.00146078421956397,0.00141984346612389,0.000189431754185503,0.000153881082782575,0.000212825910689881,0.000521066382294406,1.93205735588697
"chromacens.kurtosis.07",0.000492912211806477,0.000118871560915554,5.40145185163108e-05,3.43533347724889e-05,0.00177421684557872,0.00181534553521435,0.00033112850941274,-3.05287251849892e-05,-2.09776717976043e-06,0.000511137500348566,1.86285331985437
"chromacens.kurtosis.08",0.0015135220023886,-7.19498781087996e-05,5.30264655596594e-05,9.42309740167425e-05,0.00122909745030271,0.00185221073933526,0.000440378009733822,4.91874636910342e-05,0.000100896273197652,0.000578595583789921,1.89888197274968
"chromacens.kurtosis.09",0.000324627279474423,9.86349692303926e-05,2.3907300462606e-05,-1.41824256549162e-05,0.00134645041398854,0.00160769357446918,0.00014147213414115,-1.55973766862833e-05,-3.63244967266372e-07,0.00039474585565179,1.71742576832904
"chromacens.kurtosis.10",0.00085225708117444,0.000202942193063842,0.000100163365152932,6.02341822005453e-05,0.00136806367953708,0.00227257707068599,0.000116690964806587,2.30414273671869e-05,0.000101702338662472,0.00057209970512633,1.8612931665985
"chromacens.kurtosis.11",0.000781254145572306,-1.80247275990242e-05,2.94144342508727e-05,0.000111693563391205,0.0020311029910976,0.00221589984370176,0.000334638077623483,1.04084002534273e-05,-0.000327676938628,0.00056606010036952,1.83120937309496
"chromacens.kurtosis.12",0.000123492500404066,7.43547883394452e-05,3.69969303975567e-05,-0.000125831369202024,0.00175325730391345,0.00171609847871628,0.00015343008816693,0.000114952508967134,6.31663657650152e-05,0.000439201249200652,1.58984730026928
"chromacens.max.01",0.000882184690958272,-9.61118598133394e-05,0.000386443352825213,0.00027369052621864,0.00291017419486316,0.00408258290024529,0.000720448841983043,0.00048046263830473,-4.79935385065669e-05,0.00105758546578348,2.44186334939267
"chromacens.max.02",0.000706932584056482,0.000139008035598111,5.20802310074176e-05,0.00109220898649622,0.00346695304362684,0.00478787608673026,0.000461424670986788,0.000229711179368684,0.00113464096833572,0.00133007732571977,2.74473052781614
"chromacens.max.03",0.000315369164565352,-2.03720568138606e-05,-0.000112735535697659,0.003123172921036,0.0040516765173815,0.00488238566276735,0.00060196841055953,3.82734162867973e-05,-0.00015754783601431,0.00141950449629979,3.11819975597613
"chromacens.max.04",0.000296601441017714,-3.07762315276348e-05,0.000397056855850122,9.77777989091304e-05,0.00400166619376621,0.00590626558392934,0.000222524504666091,0.000313294944862879,0.000323455858722701,0.00128962586706977,2.9083950310359
"chromacens.max.05",0.000336561412151053,0.000485298490463105,-5.09244606317397e-06,0.000294438463959516,0.00203204574851019,0.0025163126974241,0.000253280303012937,0.000156516024038621,-0.000191610320529609,0.000643862592237722,2.14077464683654
"chromacens.max.06",0.000204521178768721,-5.04793653061789e-05,0.000236124665205326,0.000190849799084511,0.00218493728582631,0.00251346718069796,0.000512222823352439,0.000155964790199519,0.000351726612133195,0.000694623719796353,2.04503737654285
"chromacens.max.07",0.000410442106229192,0.000225054826238002,-5.66241536175653e-05,0.000201430162316399,0.00313110714006603,0.00429937013662046,0.000127819885902187,-0.000234693796677947,7.16056535495253e-06,0.000909274056628636,2.33385556499218
"chromacens.max.08",0.000192162443658556,0.000196601083343117,2.07332887159517e-06,0.000169357981669094,0.00191216655884712,0.00280265914967173,0.000844772131580938,0.000115031388355962,-0.000102500549522285,0.000684117446581392,2.03840597395872
"chromacens.max.09",0.000581545701209169,-0.00020321443959655,-0.000190762347279884,-4.46968614079544e-05,0.00317840271719293,0.00369858644310503,-5.53947081103116e-05,4.83271744728701e-05,0.000443915099956418,0.000832016691509607,2.20271098647095
"chromacens.max.10",-2.16732227413457e-05,7.73053172284264e-05,-8.87583820843117e-05,0.000492707973048057,0.00185784543599341,0.00201375141151222,0.000185519364148396,0.000241014316621304,-0.000277094549799525,0.000490183918523816,1.8801788659024
"chromacens.max.11",0.00071109481545382,0.000248864793369593,6.36513138238565e-05,0.000478796107373657,0.0024240570165413,0.00431130254176363,0.000183019536061673,-0.000114641841570209,0.000176612782367102,0.000932029791471116,2.35731497674117
"chromacens.max.12",0.000350435572928643,0.000312284381942946,-3.67827184203446e-05,0.000190029109367369,0.00255683164840408,0.00195321799770613,0.000189407912542105,2.05726977491685e-05,-0.000142269797814675,0.000605492589139356,1.98096861764627
"chromacens.mean.01",0.000214773690771475,0.00054991664154182,0.000121877201655783,0.000362337758621776,0.00224507030745722,0.00191765467617895,-2.51290274935536e-05,1.64106056002074e-05,0.000304683404970408,0.000630300297787084,1.88861951555592
"chromacens.mean.02",0.000276993342166652,0.000290744342500409,0.000209948419644661,0.000133656885572508,0.00370175744098354,0.00218814846634335,0.000113552398239015,-1.76707275650393e-05,0.000331672386152974,0.000813715740604262,2.14945855077428
