"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",192,0,0,0,0,0,0,0,0,0
"Electronic",0,1357,17,33,0,5,0,20,82,0.103698811096433
"Folk",0,21,541,1,1,0,0,4,28,0.0922818791946308
"Hip-Hop",0,10,1,558,0,1,0,4,18,0.0574324324324325
"International",0,1,0,0,93,1,0,0,1,0.03125
"Jazz",0,2,0,1,0,141,0,1,1,0.0342465753424658
"Old-Time / Historic",0,1,0,0,0,0,251,0,0,0.00396825396825395
"Pop",0,0,0,1,0,0,0,191,1,0.0103626943005182
"Rock",0,137,63,16,3,7,0,32,2593,0.0904945633111189
