"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",28,1,1,1,0,1,0,0,0,0.125
"Electronic",1,239,8,28,4,9,0,5,46,0.297058823529412
"Folk",4,3,66,0,2,8,1,2,11,0.319587628865979
"Hip-Hop",0,13,3,105,0,0,0,0,6,0.173228346456693
"International",0,0,0,0,5,0,0,1,0,0.166666666666667
"Jazz",2,2,3,0,0,12,0,0,2,0.428571428571429
"Old-Time / Historic",0,0,1,0,0,0,47,0,0,0.0208333333333334
"Pop",0,0,2,0,0,0,0,14,0,0.125
"Rock",1,48,35,17,8,16,0,24,542,0.215629522431259
