"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","MeanDecreaseAccuracy","MeanDecreaseGini"
"audio_features.acousticness",0.22687286281506,0.12130520119732,0.0661879661925887,0.128300089740853,0.268269563062695,0.208796689806227,0.480130955923499,0.0726297640174403,0.0620874065448699,0.181272480564736,207.790378884954
"audio_features.danceability",0.112143258210083,0.0636087364652218,0.0295976081843234,0.0559590821974389,0.183576961237868,0.171676509659365,0.01774707742716,0.0464781466093549,0.0491226683323629,0.0810116438481756,103.283621297653
"audio_features.energy",0.260093333362263,0.0907724767077661,0.0537998645257289,0.0823131087563332,0.213520736382814,0.197906960485809,0.114318279743316,0.0420733285213645,0.0991583718648961,0.127996686480502,145.853644176685
"audio_features.instrumentalness",0.0261386602128251,0.0336815358510799,0.00783597457274762,0.0841194782381085,0.0929770579577639,0.0803715332940369,0.0243433072442002,0.028419920653267,0.00888538825923789,0.0428920298347377,85.1058232592142
"audio_features.liveness",0.0571670041363038,0.00225139219583932,0.0118221527172092,0.00578202641477096,0.110099194957754,0.0691153315999143,0.148719861107489,0.00805421965869582,0.00282591114286781,0.0461263469942792,84.5439516966126
"audio_features.speechiness",0.0340955193433661,0.021985945562837,0.05427114754147,0.175724338363291,0.115537197586888,0.108716603292182,0.0134150714910366,0.0261704510599525,0.0287847815474156,0.0642735637020885,107.092419201294
"audio_features.tempo",0.00362734096316586,0.00847321978553151,0.00352388014526588,0.017303271699079,0.0499292727073912,0.0456037709473241,0.000127227801346991,0.0100840953951705,0.0030660592510003,0.0158017446392571,56.5676758121674
"audio_features.valence",0.06953437960394,0.0106678512658119,0.0193557108448891,0.0281823548167993,0.18645115671657,0.14273125847908,0.0656246400154603,0.00815804567822454,0.0109568829787393,0.0601505323344762,89.448248298316
"social_features.artist_discovery",0.0541087176428267,0.0112821689479685,0.0756715487221243,0.0198644840141958,0.119404704413407,0.129860593641437,0.0186455785939236,0.0454072472106918,0.0117278682854067,0.0538559336077703,81.7440529793681
"social_features.artist_familiarity",0.100142481559941,0.0109645920908284,0.0801445319434811,0.0280808097594117,0.146357572999729,0.173342213363275,0.0266336454938359,0.0585687425084018,0.038221830873734,0.073423094578986,96.1281959578267
"social_features.artist_hotttnesss",0.0500745867237041,0.0124466686145282,0.0670413560458379,0.021011962585092,0.11738455400267,0.123724525013147,0.0193894361991443,0.0412431126937066,0.0154812830441956,0.0518941154366482,81.7982380284836
"social_features.song_currency",0.00417222645530657,0.00055867419648196,0.00433296339625709,0.0025279088334098,0.0188460632587873,0.0135775749142751,0.000523035098360534,0.00578066874994835,0.000440503451677306,0.00561287007550841,21.5076665924427
"social_features.song_hotttnesss",0.0084150620447789,0.000755472882102209,0.00355958339863203,0.00475055178116766,0.0194788739134131,0.0296605353058028,0.00145182216998102,0.00606164019794017,0.000642608507355159,0.00829804982834872,25.325787965471
"album.tracks",0.060097973250432,0.0126988790827435,0.0259126968841608,0.0419545536991181,0.15372886746561,0.100540185746114,0.0209726031679565,0.0321418133472966,0.0109722113105446,0.0509022239077235,85.4552582687269
"album.type",0.0553944879524977,0.0322819347829518,0.0217763810864545,0.0424492102578302,0.198338759757648,0.0527535601896657,0.0262680684348854,0.0437263190874454,0.0182464085919697,0.0544415473569859,49.554381302271
"artist.latitude",0.0308401294404612,0.0136554842534119,0.0130220325089667,0.0155224715063665,0.0685774069406333,0.068867129903942,0.0319498717322756,0.0362823899764523,0.0142323530964106,0.0324573539416116,59.5959506474556
"artist.longitude",0.03816203662765,0.00922294809659576,0.0115227211886977,0.0222141051059693,0.0781273933880452,0.102151169707272,0.0316891546647246,0.0585446779865621,0.0240962262358029,0.0417221834278874,70.0938950779946
"track.duration",0.034472349667339,0.0032466167966797,0.0101881252013359,0.0353411972864069,0.128091260964766,0.119376616274284,0.049492119676881,0.0233195943270074,0.00404160218556153,0.0452229883203467,84.2086878083636
