"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",175,1,4,2,0,1,4,3,2,0.0885416666666666
"Electronic",1,101,15,34,1,3,0,20,17,0.473958333333333
"Folk",16,3,134,3,5,2,4,16,9,0.302083333333333
"Hip-Hop",2,19,2,148,1,1,0,8,11,0.229166666666667
"International",1,0,1,4,181,0,1,1,3,0.0572916666666666
"Jazz",11,2,4,2,4,153,0,8,8,0.203125
"Old-Time / Historic",1,0,4,0,0,0,187,0,0,0.0260416666666666
"Pop",7,13,29,32,1,1,1,72,36,0.625
"Rock",3,6,10,8,2,3,0,19,141,0.265625
