"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",164,0,8,0,2,4,1,1,2,0.0989010989010989
"Electronic",2,86,13,35,2,6,0,17,21,0.527472527472527
"Folk",8,6,119,4,4,6,8,18,9,0.346153846153846
"Hip-Hop",2,27,2,131,2,1,0,5,12,0.28021978021978
"International",0,0,2,1,171,1,0,4,3,0.0604395604395604
"Jazz",7,7,6,4,4,138,1,6,9,0.241758241758242
"Old-Time / Historic",3,1,3,0,0,0,175,0,0,0.0384615384615384
"Pop",2,11,27,22,2,4,1,68,45,0.626373626373626
"Rock",3,13,8,7,2,2,0,21,126,0.307692307692308
