"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",174,1,0,1,0,3,0,1,0,0.0333333333333333
"Electronic",0,1282,18,74,4,8,0,36,97,0.156023699802502
"Folk",2,28,470,2,7,7,1,15,50,0.192439862542955
"Hip-Hop",0,15,8,503,3,0,0,9,24,0.104982206405694
"International",0,0,0,0,73,0,0,0,0,0
"Jazz",1,5,7,0,0,112,0,1,0,0.111111111111111
"Old-Time / Historic",0,0,3,0,0,0,253,0,0,0.01171875
"Pop",0,0,0,0,0,0,0,96,0,0
"Rock",5,168,87,47,12,38,0,93,2553,0.14985014985015
