"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",192,1,0,0,0,1,0,0,0,0.0103092783505154
"Electronic",0,1358,12,36,0,9,0,18,89,0.107752956636005
"Folk",0,14,550,1,0,2,0,7,21,0.0756302521008403
"Hip-Hop",0,10,2,553,0,0,0,3,8,0.0399305555555556
"International",0,0,0,0,94,0,0,0,0,0
"Jazz",0,4,0,0,0,132,0,1,1,0.0434782608695652
"Old-Time / Historic",0,0,0,0,0,0,251,0,0,0
"Pop",0,1,0,1,0,0,0,189,1,0.015625
"Rock",0,141,58,19,3,11,0,34,2604,0.0926829268292683
