"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",26,3,2,0,0,0,1,0,0,0.1875
"Electronic",2,277,7,29,1,4,0,7,28,0.219718309859155
"Folk",3,15,83,1,2,5,1,5,18,0.37593984962406
"Hip-Hop",0,9,2,93,1,0,0,3,8,0.198275862068966
"International",0,0,0,0,5,0,0,0,0,0
"Jazz",1,1,0,0,1,8,0,0,0,0.272727272727273
"Old-Time / Historic",0,1,0,0,0,0,57,0,0,0.0172413793103449
"Pop",0,0,1,0,0,0,0,5,1,0.285714285714286
"Rock",1,62,38,19,6,22,0,14,542,0.230113636363636
