"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",180,2,4,1,1,4,0,0,2,0.0721649484536082
"Electronic",3,1267,40,74,7,24,2,48,107,0.194020356234097
"Folk",2,36,426,1,3,9,1,18,55,0.226860254083485
"Hip-Hop",1,20,11,463,3,0,0,7,28,0.131332082551595
"International",0,0,0,0,58,0,0,0,0,0
"Jazz",3,0,3,0,1,74,0,1,0,0.0975609756097561
"Old-Time / Historic",0,0,0,0,0,0,246,0,0,0
"Pop",0,1,0,1,0,0,0,84,2,0.0454545454545454
"Rock",3,203,138,70,24,44,2,94,2530,0.185971685971686
