"","Classical","Electronic","Folk","Hip-Hop","International","Jazz","Old-Time / Historic","Pop","Rock","class.error"
"Classical",174,0,3,0,1,10,4,0,0,0.09375
"Electronic",0,109,9,24,4,13,0,12,21,0.432291666666667
"Folk",7,4,141,6,3,6,5,12,8,0.265625
"Hip-Hop",0,20,2,149,1,0,0,9,11,0.223958333333333
"International",0,0,0,1,187,2,0,2,0,0.0260416666666666
"Jazz",6,3,4,1,2,168,1,1,6,0.125
"Old-Time / Historic",5,0,2,1,2,2,180,0,0,0.0625
"Pop",3,27,18,6,1,6,1,114,16,0.40625
"Rock",3,14,14,8,4,11,0,16,122,0.364583333333333
