,V1,V2,V3,V4
456,spectralcontrast.min.02,2.11E-165,1.06E-162,LibROSA
462,spectralcontrast.skew.01,3.06E-161,1.54E-158,LibROSA
300,mfcc.max.15,5.82E-161,2.93E-158,LibROSA
302,mfcc.max.17,6.80E-158,3.42E-155,LibROSA
327,mfcc.median.02,1.77E-155,8.91E-153,LibROSA
386,mfcc.std.01,1.29E-154,6.48E-152,LibROSA
345,mfcc.median.20,1.33E-153,6.68E-151,LibROSA
307,mfcc.mean.02,2.48E-152,1.25E-149,LibROSA
305,mfcc.max.20,1.44E-151,7.25E-149,LibROSA
358,mfcc.min.13,5.95E-151,2.99E-148,LibROSA
441,spectralcontrast.mean.01,6.67E-150,3.35E-147,LibROSA
395,mfcc.std.10,3.52E-148,1.77E-145,LibROSA
448,spectralcontrast.median.01,4.39E-148,2.21E-145,LibROSA
475,spectralcontrast.std.07,9.44E-148,4.75E-145,LibROSA
390,mfcc.std.05,2.19E-147,1.10E-144,LibROSA
387,mfcc.std.02,8.89E-147,4.47E-144,LibROSA
368,mfcc.skew.03,1.20E-145,6.03E-143,LibROSA
251,chromastft.skew.10,6.56E-144,3.30E-141,LibROSA
413,spectralbandwidth.kurtosis.01,7.35E-144,3.70E-141,LibROSA
301,mfcc.max.16,2.21E-142,1.11E-139,LibROSA
478,spectralrolloff.mean.01,4.30E-141,2.16E-138,LibROSA
479,spectralrolloff.median.01,5.78E-137,2.91E-134,LibROSA
472,spectralcontrast.std.04,6.81E-137,3.43E-134,LibROSA
294,mfcc.max.09,1.09E-135,5.51E-133,LibROSA
264,chromastft.std.11,1.49E-134,7.49E-132,LibROSA
290,mfcc.max.05,2.25E-130,1.13E-127,LibROSA
369,mfcc.skew.04,2.64E-129,1.33E-126,LibROSA
296,mfcc.max.11,9.09E-127,4.57E-124,LibROSA
303,mfcc.max.18,3.64E-126,1.83E-123,LibROSA
436,spectralcontrast.max.03,3.28E-124,1.65E-121,LibROSA
304,mfcc.max.19,2.78E-122,1.40E-119,LibROSA
453,spectralcontrast.median.06,4.63E-121,2.33E-118,LibROSA
359,mfcc.min.14,5.43E-121,2.73E-118,LibROSA
524,tonnetz.std.06,1.92E-117,9.64E-115,LibROSA
411,rmse.skew.01,2.27E-115,1.14E-112,LibROSA
348,mfcc.min.03,3.34E-112,1.68E-109,LibROSA
310,mfcc.mean.05,2.14E-111,1.08E-108,LibROSA
446,spectralcontrast.mean.06,2.05E-110,1.03E-107,LibROSA
473,spectralcontrast.std.05,5.83E-110,2.93E-107,LibROSA
344,mfcc.median.19,1.90E-109,9.57E-107,LibROSA
243,chromastft.skew.02,3.93E-107,1.98E-104,LibROSA
330,mfcc.median.05,3.17E-106,1.59E-103,LibROSA
318,mfcc.mean.13,1.92E-105,9.64E-103,LibROSA
324,mfcc.mean.19,2.15E-105,1.08E-102,LibROSA
504,tonnetz.median.04,4.45E-105,2.24E-102,LibROSA
338,mfcc.median.13,4.93E-104,2.48E-101,LibROSA
298,mfcc.max.13,6.31E-104,3.17E-101,LibROSA
510,tonnetz.min.04,1.01E-103,5.08E-101,LibROSA
254,chromastft.std.01,3.17E-102,1.59E-99,LibROSA
407,rmse.max.01,6.27E-102,3.15E-99,LibROSA
455,spectralcontrast.min.01,2.66E-101,1.34E-98,LibROSA
433,spectralcontrast.kurtosis.07,8.09E-101,4.07E-98,LibROSA
422,spectralcentroid.mean.01,2.83E-100,1.42E-97,LibROSA
435,spectralcontrast.max.02,1.17E-99,5.89E-97,LibROSA
460,spectralcontrast.min.06,1.57E-98,7.91E-96,LibROSA
491,tonnetz.max.03,3.86E-98,1.94E-95,LibROSA
397,mfcc.std.12,3.51E-97,1.76E-94,LibROSA
89,chromacens.std.04,4.69E-96,2.36E-93,LibROSA
511,tonnetz.min.05,1.64E-95,8.25E-93,LibROSA
350,mfcc.min.05,1.67E-95,8.40E-93,LibROSA
360,mfcc.min.15,1.24E-92,6.25E-90,LibROSA
357,mfcc.min.12,4.00E-91,2.01E-88,LibROSA
354,mfcc.min.09,1.73E-89,8.69E-87,LibROSA
356,mfcc.min.11,3.11E-88,1.56E-85,LibROSA
138,chromacqt.median.05,4.76E-88,2.39E-85,LibROSA
364,mfcc.min.19,3.60E-87,1.81E-84,LibROSA
438,spectralcontrast.max.05,1.34E-86,6.73E-84,LibROSA
492,tonnetz.max.04,3.22E-86,1.62E-83,LibROSA
88,chromacens.std.03,2.22E-85,1.12E-82,LibROSA
139,chromacqt.median.06,2.31E-84,1.16E-81,LibROSA
509,tonnetz.min.03,5.35E-84,2.69E-81,LibROSA
439,spectralcontrast.max.06,1.14E-82,5.74E-80,LibROSA
126,chromacqt.mean.05,1.84E-82,9.27E-80,LibROSA
388,mfcc.std.03,7.12E-82,3.58E-79,LibROSA
423,spectralcentroid.median.01,6.30E-81,3.17E-78,LibROSA
363,mfcc.min.18,1.15E-80,5.79E-78,LibROSA
91,chromacens.std.06,4.21E-80,2.12E-77,LibROSA
367,mfcc.skew.02,1.34E-79,6.72E-77,LibROSA
253,chromastft.skew.12,2.50E-78,1.26E-75,LibROSA
361,mfcc.min.16,1.06E-77,5.33E-75,LibROSA
