,V1,V2,V3,V4
192,chromastft.kurtosis.11,0.92149925,1,LibROSA
193,chromastft.kurtosis.12,0.668603107,1,LibROSA
204,chromastft.max.11,0.668603107,1,LibROSA
230,chromastft.min.01,0.003130034,1,LibROSA
231,chromastft.min.02,0.033990286,1,LibROSA
232,chromastft.min.03,0.116184583,1,LibROSA
233,chromastft.min.04,0.806650922,1,LibROSA
234,chromastft.min.05,0.299639766,1,LibROSA
235,chromastft.min.06,0.413479511,1,LibROSA
236,chromastft.min.07,0.017644422,1,LibROSA
237,chromastft.min.08,0.318827826,1,LibROSA
238,chromastft.min.09,0.837444542,1,LibROSA
248,chromastft.skew.07,0.033792569,1,LibROSA
250,chromastft.skew.09,0.663040126,1,LibROSA
266,mfcc.kurtosis.01,0.021518547,1,LibROSA
267,mfcc.kurtosis.02,0.591853653,1,LibROSA
269,mfcc.kurtosis.04,0.030093139,1,LibROSA
270,mfcc.kurtosis.05,0.012856418,1,LibROSA
271,mfcc.kurtosis.06,0.015262103,1,LibROSA
273,mfcc.kurtosis.08,0.002902719,1,LibROSA
274,mfcc.kurtosis.09,0.006794653,1,LibROSA
275,mfcc.kurtosis.10,0.208941828,1,LibROSA
276,mfcc.kurtosis.11,0.060040521,1,LibROSA
277,mfcc.kurtosis.12,0.454174685,1,LibROSA
278,mfcc.kurtosis.13,0.022742464,1,LibROSA
279,mfcc.kurtosis.14,0.799831469,1,LibROSA
280,mfcc.kurtosis.15,0.579196149,1,LibROSA
281,mfcc.kurtosis.16,0.221731127,1,LibROSA
283,mfcc.kurtosis.18,0.093061114,1,LibROSA
284,mfcc.kurtosis.19,0.889071825,1,LibROSA
285,mfcc.kurtosis.20,0.953930254,1,LibROSA
410,rmse.min.01,0.981187089,1,LibROSA
427,spectralcontrast.kurtosis.01,0.052920319,1,LibROSA
428,spectralcontrast.kurtosis.02,0.094904942,1,LibROSA
429,spectralcontrast.kurtosis.03,0.913482006,1,LibROSA
430,spectralcontrast.kurtosis.04,0.218340301,1,LibROSA
431,spectralcontrast.kurtosis.05,0.245843112,1,LibROSA
432,spectralcontrast.kurtosis.06,0.028644376,1,LibROSA
483,tonnetz.kurtosis.01,0.300844776,1,LibROSA
484,tonnetz.kurtosis.02,0.319742485,1,LibROSA
485,tonnetz.kurtosis.03,0.87542396,1,LibROSA
487,tonnetz.kurtosis.05,0.998669952,1,LibROSA
488,tonnetz.kurtosis.06,0.959998357,1,LibROSA
490,tonnetz.max.02,0.009199936,1,LibROSA
513,tonnetz.skew.01,0.451328641,1,LibROSA
514,tonnetz.skew.02,0.150968579,1,LibROSA
517,tonnetz.skew.05,0.019551079,1,LibROSA
518,tonnetz.skew.06,0.022423603,1,LibROSA
525,zcr.kurtosis.01,0.004725168,1,LibROSA
459,spectralcontrast.min.05,3.58467847143179e-318,1.80309327113019e-315,LibROSA
212,chromastft.mean.07,4.94065645841247e-324,2.48515019858147e-321,LibROSA
449,spectralcontrast.median.02,7.78120224189774e-314,3.91394472767456e-311,LibROSA
308,mfcc.mean.03,9.55601015648446e-314,4.80667310871168e-311,LibROSA
211,chromastft.mean.06,1.09188507730915e-321,5.49218193886505e-319,LibROSA
16,chromacens.kurtosis.03,NaN,NaN,LibROSA
100,chromacqt.kurtosis.03,NaN,NaN,LibROSA
101,chromacqt.kurtosis.04,NaN,NaN,LibROSA
105,chromacqt.kurtosis.08,NaN,NaN,LibROSA
109,chromacqt.kurtosis.12,NaN,NaN,LibROSA
112,chromacqt.max.03,NaN,NaN,LibROSA
116,chromacqt.max.07,NaN,NaN,LibROSA
184,chromastft.kurtosis.03,NaN,NaN,LibROSA
187,chromastft.kurtosis.06,NaN,NaN,LibROSA
188,chromastft.kurtosis.07,NaN,NaN,LibROSA
189,chromastft.kurtosis.08,NaN,NaN,LibROSA
191,chromastft.kurtosis.10,NaN,NaN,LibROSA
194,chromastft.max.01,NaN,NaN,LibROSA
195,chromastft.max.02,NaN,NaN,LibROSA
196,chromastft.max.03,NaN,NaN,LibROSA
197,chromastft.max.04,NaN,NaN,LibROSA
198,chromastft.max.05,NaN,NaN,LibROSA
199,chromastft.max.06,NaN,NaN,LibROSA
200,chromastft.max.07,NaN,NaN,LibROSA
201,chromastft.max.08,NaN,NaN,LibROSA
202,chromastft.max.09,NaN,NaN,LibROSA
203,chromastft.max.10,NaN,NaN,LibROSA
205,chromastft.max.12,NaN,NaN,LibROSA
239,chromastft.min.10,NaN,NaN,LibROSA
240,chromastft.min.11,NaN,NaN,LibROSA
247,chromastft.skew.06,NaN,NaN,LibROSA
249,chromastft.skew.08,NaN,NaN,LibROSA
406,rmse.kurtosis.01,NaN,NaN,LibROSA
